States,Year,offenders_were_known_to_the_Victims,offenders_were_Neighbours,offenders_were_Other_Known_persons,offenders_were_Parentsclose_family_members,offenders_were_Relatives,Total_rape_case
Sikkim,2005,18,0,17,1,0,36
Sikkim,2006,20,0,20,0,0,40
Sikkim,2007,24,3,14,4,3,48
Sikkim,2008,20,1,18,1,0,40
Sikkim,2009,18,11,7,0,0,36
Sikkim,2010,17,4,10,2,1,34
Tamil Nadu,2001,398,100,220,21,57,796
Tamil Nadu,2002,505,178,253,0,74,1010
Tamil Nadu,2003,541,163,271,40,67,1082
Tamil Nadu,2004,592,209,252,36,95,1184
Tamil Nadu,2005,566,210,274,11,71,1132
Tamil Nadu,2006,455,150,255,1,49,910
Tamil Nadu,2007,511,124,327,2,58,1022
Tamil Nadu,2008,571,169,331,1,70,1142
Tamil Nadu,2009,569,171,328,4,66,1138
Tamil Nadu,2010,666,190,400,0,76,1332
Tripura,2001,102,0,102,0,0,204
Tripura,2002,108,8,100,0,0,216
Tripura,2003,114,12,102,0,0,228
Tripura,2004,160,97,48,1,14,320
Tripura,2005,162,108,47,0,7,324
Tripura,2006,189,110,59,4,16,378
Tripura,2007,157,90,55,0,12,314
Tripura,2008,204,125,71,0,8,408
Tripura,2009,190,113,64,0,13,380
Tripura,2010,238,127,35,0,76,476
Uttar Pradesh,2001,1747,593,1028,3,123,3494
Uttar Pradesh,2002,1142,445,609,12,76,2284
Uttar Pradesh,2003,766,320,371,10,65,1532
Uttar Pradesh,2004,1266,445,719,35,67,2532
Uttar Pradesh,2005,1147,400,600,70,77,2294
Uttar Pradesh,2006,1287,418,771,0,98,2574
Uttar Pradesh,2007,1638,535,988,1,114,3276
Uttar Pradesh,2008,1871,507,1215,1,148,3742
Uttar Pradesh,2009,1759,485,1189,2,83,3518
Uttar Pradesh,2010,1562,411,1062,4,85,3124
Uttarakhand,2001,74,20,48,0,6,148
Uttarakhand,2002,89,11,48,16,14,178
Uttarakhand,2003,107,26,75,2,4,214
Uttarakhand,2004,115,19,80,13,3,230
Uttarakhand,2005,133,26,100,3,4,266
Uttarakhand,2006,147,51,81,6,9,294
Uttarakhand,2007,117,23,75,8,11,234
Uttarakhand,2008,82,5,71,6,0,164
Uttarakhand,2009,107,19,77,6,5,214
Uttarakhand,2010,103,29,59,11,4,206
West Bengal,2001,18,1,17,0,0,36
West Bengal,2002,32,11,20,0,1,64
West Bengal,2003,41,11,12,15,3,82
West Bengal,2004,24,0,0,24,0,48
West Bengal,2005,49,5,7,36,1,98
West Bengal,2006,411,158,228,6,19,822
West Bengal,2007,1908,535,1022,114,237,3816
West Bengal,2008,1034,268,718,9,39,2068
West Bengal,2009,1828,651,937,3,237,3656
West Bengal,2010,2134,1037,987,4,106,4268
